State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Ownership_Owned_Households,Ownership_Rented_Households,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Television,sex_ratio,litracy_rate
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,68313,210706,28238,491582,277488,429,62,27,1004,149314,4519,12360,4785,45938,95.0,68.91447943921963
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,133368,483325,64528,1422824,350536,138166,1363,5088,1003,323644,22030,31254,11760,106909,96.0,57.614793333021495
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,161718,290704,90910,1181347,48373,76877,1999,16228,837,179202,37251,27948,13323,111738,95.0,60.11782256430879
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,43290,659061,44213,1593525,1207442,4116,371,187,1910,550065,6185,29796,5041,40387,92.0,42.530274021373835
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,44456,428291,49006,2291133,237353,2218,295,334,775,377134,6754,31168,7145,45871,93.0,57.71495543632014
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,589477,551789,427343,2545438,786677,15991,5142,309093,30981,580691,138210,69937,33322,403594,92.0,67.64783121091557
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,62359,425604,18492,1772655,250925,6138,139,113,94,372571,3728,22300,3258,32859,91.0,47.44144649770023
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,120373,594377,139248,2554330,407348,2209,402,229,276,577162,10968,43127,9821,76761,89.0,52.13437552284247
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,174534,522527,130634,2487866,537098,3556,415,180,1050,540365,13460,46929,8644,117040,88.0,51.78364627163514
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,62153,434559,77368,2518216,197819,2165,544,647,1472,401256,9625,34658,7391,87879,91.0,58.61116028510409
